distance_km,payload_tonnes,headwind_kts,cruise_altitude_ft,aircraft_type,fuel_kg
380,9.6,19,37500,B737,2423
540,8.7,28,36500,B737,3050
550,8.5,1,32500,B737,3111
560,12.4,17,32000,B737,3200
570,12.4,18,32000,B737,3173
570,6.0,38,34000,B737,3241
600,17.6,0,33500,A320,3187
610,17.3,31,32500,B737,3600
620,6.7,13,32500,A320,3351
630,15.9,10,37000,A320,3269
640,15.0,-23,31500,A320,3449
680,11.9,-24,33000,B737,3640
690,16.3,-21,39000,A320,3338
720,11.5,-18,32000,A320,3734
720,11.0,-6,37000,B737,3574
820,8.8,-27,34000,A320,3709
820,7.2,14,35000,B737,3919
870,12.9,30,38500,A320,3895
960,8.7,13,31000,A320,4287
960,12.9,-25,32000,A320,4161
960,8.3,31,35000,A320,4226
1030,7.4,-17,33000,B737,4540
1100,7.5,9,36500,B737,4607
1160,10.1,-11,34000,B737,5070
1160,13.2,19,37000,B737,4954
1160,11.4,1,35000,B737,5005
1200,15.3,-10,35500,A320,4994
1250,6.3,12,37500,B737,5214
1260,6.5,25,36500,B737,5226
1300,13.1,0,37000,A320,5269
1330,14.0,18,33500,B737,5494
1430,9.9,18,35000,B737,5857
1440,14.7,30,34500,A320,5979
1470,12.1,-19,31500,A320,5878
1470,6.9,-23,34500,A320,5622
1500,7.8,-25,34500,A320,5912
1510,6.3,-6,37000,A320,5927
1510,8.2,-29,33000,B737,5937
1550,10.0,39,32000,B737,6379
1570,8.9,-20,32000,A320,6052
1570,10.7,8,38000,B737,6066
1580,11.9,0,38500,B737,6144
1590,14.0,17,38500,B737,6361
1610,16.1,-11,34500,A320,6358
1620,8.3,27,33000,A320,6225
1620,11.3,40,32500,A320,6435
1620,7.9,-17,37000,B737,6010
1690,14.9,40,37500,A320,6554
1700,17.6,39,34000,B737,6798
1700,9.4,32,33000,B737,6750
1740,13.3,13,34000,B737,6736
1770,8.9,29,37000,B737,6731
1850,7.9,-30,35000,B737,7119
1900,17.9,-15,37500,A320,7152
1910,8.8,-6,36000,B737,7255
1940,10.8,-5,32000,B737,7414
2010,11.9,15,35000,A320,7544
2030,16.4,5,36500,B737,7567
2090,16.6,5,31000,B737,7914
2140,13.8,-25,31000,A320,7835
2240,7.9,39,35500,B737,8109
2400,8.0,-30,37000,A320,8447
2430,17.1,0,33500,A320,8886
2430,12.5,23,31500,B737,9008
2490,11.4,5,31000,A320,8795
2500,16.0,30,31000,B737,9269
2670,8.0,15,34000,B737,9459
2680,15.6,37,36000,A320,9741
2710,9.2,-2,36000,B737,9556
2770,8.3,-18,37500,B737,9587
2830,10.7,21,33500,A320,10070
2850,7.3,16,35500,A320,9804
2880,8.9,-30,32500,B737,10128
2930,9.0,-24,32000,B737,10097
2940,16.4,8,39000,A320,10117
2940,14.0,11,37000,B737,10288
2940,6.2,23,38500,B737,10430
2960,15.5,-9,32000,B737,10480
3020,17.2,-4,36000,B737,10682
3020,13.4,38,38500,B737,10387
3030,17.8,-6,35500,B737,10362
3070,7.5,30,33500,A320,10434
3090,15.2,13,32500,B737,10891
3090,17.3,-16,35000,B737,10736
3100,12.1,-14,36500,A320,10755
3180,11.1,40,36000,B737,11043
3180,14.4,-14,38500,B737,11246
3220,7.3,-11,31500,A320,11113
3230,11.6,2,36500,A320,11129
3250,8.6,33,37000,B737,11318
3310,11.6,26,34000,B737,11651
3340,16.8,21,36500,B737,11476
3340,12.0,37,33500,B737,11798
3340,16.3,18,38500,A320,11499
3380,7.2,8,32500,A320,11576
3380,9.9,1,32000,B737,11766
3400,12.3,40,31000,B737,11919
3430,11.9,4,37500,A320,11549
3450,10.6,-6,35000,A320,11589
3460,7.8,-10,39000,A320,11674
3480,14.0,40,35500,A320,11968
3480,16.0,40,38000,B737,11952
3500,10.9,-30,35500,B737,11886
3510,12.9,-22,31500,B737,12044
3520,7.1,0,35500,B737,12153
3530,16.9,-27,32000,A320,11841
3550,9.3,-21,35500,A320,11780
3590,16.0,-25,31000,B737,12372
3600,14.5,25,33500,B737,12633
3620,6.3,5,34500,A320,12206
3640,7.7,-13,34500,B737,12356
3640,7.6,29,33500,B737,12596
3650,11.4,-28,32000,B737,12449
3730,15.3,-20,34500,A320,12641
3750,13.5,-15,35500,B737,12768
3780,14.4,-21,33500,B737,12804
3780,11.3,36,38000,B737,12740
3810,13.1,-26,31000,A320,13046
3900,14.5,-22,37500,A320,13034
3910,6.6,1,32500,B737,13174
